mdb_id,gnd,qid,full_name,multi_role
11004901,1159666016,Q40915597,Katrin Staffler,False
11004900,1228255342,Q40846468,René Springer,False
11004899,128393548,Q40983005,Dirk Spaniel,False
11004898,1226896952,Q18019298,Detlev Spangenberg,False
11004897,1200498097,Q124581,Helin Evrim Sommer,False
11004894,1154519481,Q19969784,Frank Sitta,False
11004893,1141608464,Q40998580,Björn Simon,False
11004892,1146943377,Q40879307,Martin Sichert,False
11004891,1196906866,Q40436370,Thomas Seitz,False
11004890,,Q40998778,Matthias Seestern-Pauly,False
11004889,1276237677,Q40999416,Torsten Schweiger,False
11004888,1276236336,Q40896698,Uwe Schulz,False
11004886,1032149744,Q17905,Martin Schulz,False
11004885,1216511470,Q40974942,Manja Schüle,False
11004884,1229858695,Q40998033,Michael Schrodi,False
11004883,1017687846,Q1403798,Felix Schreiner,False
11004882,,Q40998077,Eva-Maria Schreiber,False
11004881,,Q40998834,Johannes Schraps,False
11004880,1210390167,Q40847360,Jörg Schneider,False
11004879,121175065,Q40974933,Claudia Schmidtke,False
11004878,1140155334,Q20243187,Uwe Schmidt,False
11004877,1139871684,Q40998233,Stefan Schmidt,False
11004876,143926896,Q477845,Nils Schmid,False
11004875,131932802,Q40813332,Robby Schlund,False
11004874,132251582,Q1677371,Wieland Schinnenburg,False
11004873,122824524X,Q40998741,Ulrike Schielke-Ziesing,False
11004871,,Q40975213,Christian Sauter,False
11004870,119836548X,Q2337497,Stefan Sauer,False
11004869,121303799,Q1527508,Thomas Sattelberger,False
11004867,1212213432,Q40999099,Stefan Rouenhoff,False
11004866,1153807017,Q40998264,Manuela Rottmann,False
11004865,1029934312,Q69346,Bernd Riexinger,False
11004864,1221697862,Q40999004,Bernd Reuther,False
11004863,1014415853,Q1366533,Roman Johannes Reusch,False
11004862,,Q29946731,Martin Erwin Renner,False
11004859,1228243050,Q36338130,Martin Reichardt,False
11004858,1140791494,Q40881060,Stephan Protschka,False
11004857,1035107090,Q103972,Filiz Polat,False
11004856,1228243387,Q40471077,Jürgen Pohl,False
11004855,1228255334,Q40881384,Paul Viktor Podolay,False
